Repo_Name,Repo_URL,Stars,Forks,contributors_count,create_date,repo_age_days,PRs,Issues,Total_MD_Files,Has_SECURITY,Has_CONTRIBUTING,Has_SKILL,Has_AGENTS
pest,https://github.com/pestphp/pest,11681,526,171,2020-03-11T20:36:55Z,2358,671,974,10,True,True,True,True
Crucix,https://github.com/calesthio/Crucix,11559,1819,17,2026-03-14T07:33:06Z,164,87,48,8,True,True,False,False
hexstrike-ai,https://github.com/0x4m4/hexstrike-ai,11366,2371,2,2025-07-10T17:53:18Z,411,78,123,1,False,False,False,False
ten-framework,https://github.com/TEN-framework/ten-framework,11081,1353,87,2024-06-19T14:26:15Z,797,1733,500,1086,True,True,False,True
blinko,https://github.com/blinkospace/blinko,10955,774,74,2024-10-23T10:04:59Z,671,254,898,12,True,False,False,False
spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,10703,2375,276,2024-09-09T01:35:50Z,716,2142,1878,70,True,True,True,True
mcp-use,https://github.com/mcp-use/mcp-use,10526,1421,49,2025-03-28T10:06:31Z,515,1802,461,121,True,True,True,True
agent-orchestrator,https://github.com/Untrivial-ai/agent-orchestrator,9956,1419,92,2026-02-13T09:52:36Z,193,2882,1560,76,False,True,True,True
openbrowser,https://github.com/ntegrals/openbrowser,9515,864,1,2019-04-11T15:59:04Z,2693,33,0,5,False,True,False,False
mcp-go,https://github.com/mark3labs/mcp-go,9030,877,220,2024-11-27T12:38:33Z,636,555,319,31,True,True,False,True
OpenJarvis,https://github.com/open-jarvis/OpenJarvis,9029,2080,79,2026-02-15T00:24:16Z,192,622,269,118,True,True,False,True
PraisonAI,https://github.com/MervinPraison/PraisonAI,8958,1420,80,2024-03-19T16:45:25Z,889,2551,1755,167,True,True,True,True
reor,https://github.com/reorproject/reor,8568,530,29,2023-11-27T01:30:44Z,1003,289,218,3,False,False,False,False
XAgent,https://github.com/OpenBMB/XAgent,8544,903,38,2023-10-16T03:44:57Z,1045,97,320,79,False,True,False,False
rig,https://github.com/0xPlaygrounds/rig,8404,937,230,2024-06-05T13:42:28Z,811,1498,840,61,False,True,False,True
OpenShell,https://github.com/NVIDIA/OpenShell,8367,1230,108,2026-02-24T22:52:22Z,182,1660,1013,157,True,True,True,True
nullclaw,https://github.com/nullclaw/nullclaw,8052,943,103,2026-02-16T21:17:27Z,190,631,327,57,True,True,False,True
Upsonic,https://github.com/Upsonic/Upsonic,7946,745,41,2024-05-26T16:23:38Z,821,422,181,90,True,True,True,False
gsd-2,https://github.com/gsd-build/gsd-2,7764,765,95,2026-03-11T04:28:49Z,167,3525,2885,736,True,True,True,False
osaurus,https://github.com/osaurus-ai/osaurus,7689,452,35,2025-08-17T15:05:39Z,373,2074,383,190,True,True,False,True
openllmetry,https://github.com/traceloop/openllmetry,7400,1061,109,2023-09-02T14:42:59Z,1088,4010,394,45,True,True,False,False
llm-zoomcamp,https://github.com/DataTalksClub/llm-zoomcamp,7117,1312,72,2024-03-26T14:53:20Z,882,170,14,138,False,False,False,False
superagent,https://github.com/superagent-ai/superagent,6718,964,6,2023-05-10T18:50:39Z,1203,693,435,12,True,False,False,False
ClawRouter,https://github.com/BlockRunAI/ClawRouter,6567,644,24,2026-02-03T17:32:00Z,203,111,83,33,False,True,True,False
openhanako,https://github.com/liliMozi/openhanako,6347,552,1,2026-03-15T07:01:45Z,163,0,2449,58,True,True,True,False
deepchat,https://github.com/ThinkInAIXYZ/deepchat,6282,727,80,2025-02-14T01:56:51Z,558,1454,636,300,False,True,True,True
Everywhere,https://github.com/Sylinko/Everywhere,6248,387,15,2025-04-23T08:19:33Z,489,200,256,85,True,True,True,True
tradingview-mcp,https://github.com/tradesdontlie/tradingview-mcp,5840,2555,11,2026-03-29T14:39:25Z,149,369,111,12,True,True,True,False
pgai,https://github.com/timescale/pgai,5806,314,35,2024-05-16T13:47:02Z,831,818,109,63,True,True,False,False
AReaL,https://github.com/areal-project/AReaL,5694,583,105,2025-02-24T07:23:43Z,547,1233,398,185,False,True,True,True
openagent,https://github.com/the-open-agent/openagent,5566,647,65,2020-05-29T02:45:58Z,2280,1649,755,68,True,True,True,False
BotsApp,https://github.com/Prince-Mendiratta/BotsApp,5529,1266,9,2021-05-12T13:24:26Z,1931,97,88,2,False,False,False,False
TaskingAI,https://github.com/TaskingAI/TaskingAI,5400,356,17,2024-01-08T06:21:49Z,960,277,101,122,False,True,False,False
DeepLearning.ai-Summary,https://github.com/mbadry1/DeepLearning.ai-Summary,5340,2432,25,2017-11-12T15:08:34Z,3208,167,17,7,False,False,False,False
AgentVerse,https://github.com/OpenBMB/AgentVerse,5114,513,23,2023-05-06T01:43:19Z,1208,66,87,27,False,True,False,False
LLM-engineer-handbook,https://github.com/SylphAI-Inc/LLM-engineer-handbook,5024,713,17,2024-11-04T20:53:14Z,659,33,0,1,False,False,False,False
lucida,https://github.com/claritylab/lucida,4782,865,48,2014-05-13T17:12:49Z,4487,96,163,17,False,True,False,False
infinity,https://github.com/infiniflow/infinity,4683,439,53,2022-07-18T13:52:38Z,1499,2733,644,39,False,True,False,True
OpenMemory,https://github.com/CaviraOSS/OpenMemory,4465,502,50,2025-10-19T16:12:49Z,310,113,77,27,True,True,True,False
AdalFlow,https://github.com/SylphAI-Inc/AdalFlow,4210,387,42,2024-04-19T05:05:13Z,858,403,85,40,False,False,False,False
ai-for-grant-writing,https://github.com/eseckel/ai-for-grant-writing,4186,518,7,2024-01-16T01:12:31Z,953,12,0,4,False,True,False,False
Jarvis,https://github.com/sukeesh/Jarvis,3644,1159,275,2017-03-10T22:09:14Z,3455,728,516,6,False,True,False,False
surf,https://github.com/deta/surf,3539,252,8,2025-10-20T15:09:57Z,309,169,30,46,True,True,False,False
MIRIX,https://github.com/Mirix-AI/MIRIX,3434,267,14,2025-04-11T12:24:52Z,501,69,69,19,False,True,False,False
ADeus,https://github.com/adamcohenhillel/ADeus,3426,329,20,2024-01-22T22:47:27Z,946,69,39,19,False,False,False,False
china-dictatorship,https://github.com/cirosantilli/china-dictatorship,3159,289,5,2015-04-02T20:51:50Z,4163,24,1048,42,False,True,False,False
brigade,https://github.com/spinabot/brigade,3113,39,8,2026-06-19T15:18:17Z,67,132,4,87,True,True,True,True
GordenPPTSkill,https://github.com/GordenSun/GordenPPTSkill,2985,276,2,2026-05-27T10:25:58Z,90,0,10,31,False,False,True,False
DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,2882,309,11,2026-05-21T08:29:32Z,96,132,7,115,False,False,True,True
N.E.K.O,https://github.com/Project-N-E-K-O/N.E.K.O,2673,296,61,2025-06-29T19:00:49Z,422,2758,207,545,False,True,True,False
susi_server,https://github.com/fossasia/susi_server,2521,1068,154,2016-09-14T20:21:09Z,3632,647,838,20,False,True,False,False
Data-Analysis-Agent,https://github.com/Zafer-Liu/Data-Analysis-Agent,2441,214,2,2026-04-21T06:04:19Z,126,5,9,141,True,True,True,False
deepbot,https://github.com/kevinluosl/deepbot,2272,178,1,2026-01-30T04:14:18Z,208,1,3,12,False,False,False,False
zclaw,https://github.com/tnm/zclaw,2221,192,4,2026-02-16T19:52:01Z,190,30,20,4,False,False,False,False
nullhub,https://github.com/nullclaw/nullhub,1879,106,9,2026-03-02T11:06:45Z,176,61,17,9,False,False,True,True
kalliope,https://github.com/kalliope-project/kalliope,1772,231,29,2016-10-11T12:23:24Z,3605,359,329,69,False,False,False,False
Auto-Deep-Research,https://github.com/HKUDS/Auto-Deep-Research,1729,247,5,2025-02-16T05:28:50Z,555,0,35,3,False,False,False,False
NagaAgent,https://github.com/RTGS2017/NagaAgent,1544,166,15,2025-04-20T02:02:50Z,493,262,53,66,False,False,True,True
row-bot,https://github.com/siddsachar/row-bot,1451,170,9,2026-03-06T19:50:36Z,172,257,66,68,True,True,True,True
J.A.R.V.I.S,https://github.com/GauravSingh9356/J.A.R.V.I.S,1333,325,15,2020-06-27T04:22:28Z,2250,29,23,2,False,False,False,False
secure-openclaw,https://github.com/composio-community/secure-openclaw,1188,167,1,2026-02-08T07:55:07Z,198,5,2,2,False,False,False,False
lotti,https://github.com/matthiasn/lotti,1164,115,8,2016-03-16T15:01:59Z,3814,3830,187,558,True,True,True,True
marvin-template,https://github.com/SterlingChin/marvin-template,1013,172,8,2026-01-13T20:28:25Z,224,27,4,58,False,False,True,False
OrbitOS,https://github.com/MarsZ42/OrbitOS,966,104,2,2026-01-24T02:00:01Z,214,4,5,76,False,False,True,True
